,SID,TID,HG,GID,AbNr,Min,HZ,PR,SpSt,GS,AP,Ergeb,Phase,Spielphase,VorT,VNr,2VNr,3VNr,4VNr,5VNr,6VNr,7VNr,8VNr,9VNr,10VNr,11VNr,12VNr,SNr,Körperteil,xFe,yFe,xG
0,1,FCN,H,GWD,1,3,1,0,,0,1,Block,Freistoss,nFS,UnkontrollierteVorbereitung,,,,,,,,,,,,,11.0,R,-5.0,34.0,0.014183488223620857
1,1,FCN,H,GWD,2,6,1,0,1:0,0,2,Tor,AusDemSpiel,EB,TieferPass,20.0,26.0,23.0,20.0,,,,,,,,,9.0,L,6.5,44.0,0.33002720985455775
2,1,FCN,H,GWD,3,8,1,0,,1,3,Block,AusDemSpiel,EB,KontrollierteVorlage,20.0,26.0,6.0,23.0,8.0,,,,,,,,27.0,R,17.0,34.0,0.00532004366780662
3,1,GWD,G,FCN,1,11,1,0,,-1,4,Vorbei,Freistoss,nFS,UnkontrollierteVorbereitung,,,,,,,,,,,,,,R,-2.0,26.5,0.04334501510756612
4,1,FCN,H,GWD,4,14,1,0,,1,5,Save,AusDemSpiel,EB,TieferPass,8.0,20.0,1.0,26.0,23.0,6.0,8.0,,,,,,9.0,R,1.0,37.5,0.48306420410447737
5,1,FCN,H,GWD,5,16,1,0,2:0,1,6,Tor,AusDemSpiel,EB,HoheFlanke,8.0,26.0,23.0,6.0,20.0,13.0,,,,,,,7.0,R,-0.5,46.0,0.5240454632794943
6,1,GWD,G,FCN,2,18,1,0,,-2,7,Vorbei,Freistoss,nFS,UnkontrollierteVorbereitung,,,,,,,,,,,,,,L,14.5,29.0,0.02042265766095482
7,1,GWD,G,FCN,3,20,1,0,,-2,8,Vorbei,AusDemSpiel,nEW,KontrollierteVorlage,,,,,,,,,,,,,,R,-7.5,26.5,0.02878643301133465
8,1,FCN,H,GWD,6,21,1,0,,2,9,Save,AusDemSpiel,EW,KontrollierteVorlage,13.0,,,,,,,,,,,,9.0,K,17.0,46.0,0.0069050726154924625
9,1,GWD,G,FCN,4,24,1,0,,-2,10,Save,AusDemSpiel,USO,Dribbling,,,,,,,,,,,,,,L,5.5,37.0,0.342941860524919
10,1,GWD,G,FCN,5,24,1,0,,-2,10,TLK,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,,R,-6.5,40.5,0.3334151884007236
11,1,GWD,G,FCN,6,27,1,0,,-2,11,Vorbei,Freistoss,nFS,UnkontrollierteVorbereitung,,,,,,,,,,,,,,L,-4.0,19.5,0.0014496621544479848
12,1,FCN,H,GWD,7,40,1,0,,2,12,Save,AusDemSpiel,EB,TieferPass,26.0,23.0,,,,,,,,,,,13.0,L,21.5,41.0,0.03215417403233689
13,1,FCN,H,GWD,8,40,1,0,,2,12,Block,AusDemSpiel,EB,UnkontrollierteVorbereitung,,,,,,,,,,,,,11.0,R,-11.0,42.5,0.05438766885297403
14,1,FCN,H,GWD,9,41,2,0,,2,13,Block,AusDemSpiel,USO,KontrollierteVorlage,27.0,9.0,6.0,,,,,,,,,,9.0,L,7.5,34.5,0.044701323363601456
15,1,FCN,H,GWD,10,42,2,0,,2,14,Vorbei,AusDemSpiel,EB,TieferPass,6.0,1.0,6.0,,,,,,,,,,8.0,R,7.5,33.5,0.05960556716057029
16,1,GWD,G,FCN,7,43,2,0,,-2,15,Save,Freistoss,nFS,KontrollierteVorlage,,,,,,,,,,,,,,R,-14.5,44.0,0.05088686822806918
17,1,FCN,H,GWD,11,45,2,0,,2,16,Vorbei,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,6.0,R,-5.5,24.5,0.02995205378475378
18,1,GWD,G,FCN,8,46,2,0,,-2,17,Vorbei,AusDemSpiel,USO,Dribbling,,,,,,,,,,,,,,R,21.0,33.5,0.004242017482976504
19,1,FCN,H,GWD,12,51,2,0,,2,18,Vorbei,AusDemSpiel,USO,Dribbling,8.0,,,,,,,,,,,,7.0,L,7.5,41.5,0.08629567786714001
20,1,FCN,H,GWD,13,57,2,0,3:0,2,19,Tor,AusDemSpiel,USO,Dribbling,8.0,,,,,,,,,,,,7.0,R,5.5,44.5,0.13516258591946637
21,1,FCN,H,GWD,14,60,2,0,,3,20,Vorbei,AusDemSpiel,EB,KontrollierteVorlage,18.0,8.0,20.0,1.0,23.0,26.0,,,,,,,8.0,L,11.0,36.5,0.026355706100697464
22,1,FCN,H,GWD,15,70,2,0,4:0,3,21,Tor,AusDemSpiel,USO,Dribbling,25.0,8.0,1.0,,,,,,,,,,18.0,L,8.5,45.0,0.31798791822629496
23,1,GWD,G,FCN,9,72,2,0,,-4,22,Save,AusDemSpiel,nEW,KontrollierteVorlage,,,,,,,,,,,,,,L,13.5,30.5,0.019365648966862273
24,1,FCN,H,GWD,16,75,2,0,,4,23,Vorbei,Ecke,nE,UnkontrollierteVorbereitung,,,,,,,,,,,,,25.0,K,6.5,50.5,0.1292235546084906
25,1,FCN,H,GWD,17,75,2,0,,4,24,Block,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,5.0,R,-9.0,41.5,0.07984406200446557
26,2,FCD,H,FCN,1,4,1,0,1:0,0,1,Tor,AusDemSpiel,USO,KontrollierteVorlage,,,,,,,,,,,,,,R,-1.5,33.5,0.06893350990015226
27,2,FCN,G,FCD,1,10,1,0,,-1,2,Vorbei,AusDemSpiel,EB,FlacheHereingabe,13.0,8.0,20.0,,,,,,,,,,9.0,L,4.0,46.0,0.11900875463151107
28,2,FCD,H,FCN,2,11,1,0,,1,3,Save,AusDemSpiel,EB,FlacheHereingabe,,,,,,,,,,,,,,L,-1.5,47.0,0.8252940054299428
29,2,FCD,H,FCN,3,11,1,0,2:0,1,3,Tor,AusDemSpiel,EB,UnkontrollierteVorbereitung,,,,,,,,,,,,,,R,-1.0,51.0,0.8864830700082945
30,2,FCN,G,FCD,2,13,1,0,,-2,4,Vorbei,Ecke,E,HoheFlanke,8.0,,,,,,,,,,,,7.0,K,8.5,47.5,0.044797382923296665
31,2,FCN,G,FCD,3,16,1,0,,-2,5,Vorbei,AusDemSpiel,EW,KontrollierteVorlage,27.0,13.0,,,,,,,,,,,9.0,R,12.5,45.0,0.01745260262997898
32,2,FCN,G,FCD,4,26,1,0,,-2,6,Save,Freistoss,FSS,DirekterStandard,,,,,,,,,,,,,8.0,R,7.5,25.5,0.02995703886549812
33,2,FCN,G,FCD,5,37,1,0,,-2,7,Block,Freistoss,FSS,DirekterStandard,,,,,,,,,,,,,8.0,R,2.0,32.5,0.11750639133281321
34,2,FCD,H,FCN,4,43,2,0,,2,8,Vorbei,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,,R,12.5,35.0,0.011577571596146965
35,2,FCD,H,FCN,5,47,2,0,,2,9,Vorbei,Ecke,E,HoheFlanke,,,,,,,,,,,,,,R,-5.0,44.5,0.08657661818948001
36,2,FCN,G,FCD,6,57,2,0,2:1,-2,10,Tor,AusDemSpiel,USO,TieferPass,27.0,8.0,5.0,,,,,,,,,,9.0,L,16.0,46.5,0.3887441549001512
37,2,FCN,G,FCD,7,65,2,0,2:2,-1,11,Tor,AusDemSpiel,EB,HoheFlanke,13.0,19.0,20.0,,,,,,,,,,9.0,K,-1.5,46.5,0.2400225173833789
38,2,FCN,G,FCD,8,66,2,0,,0,12,Save,AusDemSpiel,EB,Dribbling,8.0,20.0,19.0,13.0,,,,,,,,,27.0,R,20.0,28.0,0.001654271907735146
39,2,FCD,H,FCN,6,68,2,0,,0,13,Vorbei,AusDemSpiel,EB,KontrollierteVorlage,,,,,,,,,,,,,,R,2.0,38.5,0.2137825043181347
40,2,FCN,G,FCD,9,70,2,0,,0,14,Vorbei,AusDemSpiel,USO,Dribbling,,,,,,,,,,,,,18.0,R,14.5,32.0,0.013756385928716256
41,2,FCN,G,FCD,10,71,2,0,,0,15,Vorbei,Ecke,nE,HoheFlanke,20.0,8.0,20.0,,,,,,,,,,13.0,K,4.5,49.0,0.16043309872225742
42,2,FCN,G,FCD,11,72,2,0,2:3,0,16,Tor,AusDemSpiel,EB,KontrollierteVorlage,25.0,9.0,19.0,26.0,1.0,20.0,23.0,,,,,,9.0,R,-5.5,28.0,0.03689800335150023
43,2,FCN,G,FCD,12,78,2,0,,1,17,Vorbei,AusDemSpiel,USO,Dribbling,13.0,19.0,,,,,,,,,,,18.0,R,18.0,28.0,0.005839826433956262
44,2,FCN,G,FCD,13,80,2,0,,1,18,Vorbei,AusDemSpiel,USO,TieferPass,8.0,18.0,23.0,5.0,,,,,,,,,25.0,R,-14.0,43.0,0.206586713602919
45,2,FCD,H,FCN,7,83,2,0,,-1,19,Alu,Freistoss,FSF,UnkontrollierteVorbereitung,,,,,,,,,,,,,,R,5.5,50.5,0.386665756500179
46,3,FCN,H,TSV,1,4,1,0,,0,1,Vorbei,AusDemSpiel,USO,KontrollierteVorlage,26.0,13.0,,,,,,,,,,,23.0,R,-10.0,32.5,0.03206827531617883
47,3,FCN,H,TSV,2,4,1,0,,0,2,Vorbei,Ecke,E,KontrollierteVorlage,9.0,8.0,,,,,,,,,,,13.0,K,-3.5,51.0,0.6776209770200969
48,3,TSV,G,FCN,1,8,1,0,,0,3,Vorbei,AusDemSpiel,USO,KontrollierteVorlage,,,,,,,,,,,,,,L,-16.5,42.5,0.13492816000136681
49,3,TSV,G,FCN,2,8,1,0,,0,4,Save,AusDemSpiel,USO,Dribbling,,,,,,,,,,,,,,R,10.0,33.0,0.018957612502570925
50,3,TSV,G,FCN,3,10,1,0,,0,5,Save,AusDemSpiel,USO,KontrollierteVorlage,,,,,,,,,,,,,,R,15.5,35.0,0.06036019134315606
51,3,FCN,H,TSV,3,11,1,0,,0,6,Block,AusDemSpiel,EB,UnkontrollierteVorbereitung,,,,,,,,,,,,,9.0,L,-9.5,43.5,0.08206869889180243
52,3,FCN,H,TSV,4,13,1,0,1:0,0,7,Tor,Elfmeter,11M,DirekterStandard,,,,,,,,,,,,,7.0,R,-0.0,41.5,0.7503592297768774
53,3,FCN,H,TSV,5,14,1,0,,1,8,Save,AusDemSpiel,EB,KontrollierteVorlage,9.0,,,,,,,,,,,,7.0,R,3.0,40.5,0.07996395960504123
54,3,TSV,G,FCN,4,16,1,0,1:1,-1,9,Tor,AusDemSpiel,USO,KontrollierteVorlage,,,,,,,,,,,,,,R,-5.0,46.5,0.2647335325676284
55,3,TSV,G,FCN,5,19,1,0,,0,10,Vorbei,AusDemSpiel,USO,TieferPass,,,,,,,,,,,,,,R,8.5,35.5,0.17115706302408162
56,3,FCN,H,TSV,6,20,1,0,,0,11,Save,AusDemSpiel,USO,Dribbling,,,,,,,,,,,,,27.0,L,-0.5,40.0,0.49460735995613975
57,3,TSV,G,FCN,6,25,1,0,,0,12,Vorbei,AusDemSpiel,USO,KontrollierteVorlage,,,,,,,,,,,,,,L,-11.5,40.0,0.19418938486468526
