,SID,TID,HG,GID,AbNr,Min,HZ,PR,SpSt,GS,AP,Ergeb,Phase,Spielphase,VorT,VNr,2VNr,3VNr,4VNr,5VNr,6VNr,7VNr,8VNr,9VNr,10VNr,11VNr,12VNr,SNr,Körperteil,xFe,yFe,xG
58,3,TSV,G,FCN,7,26,1,0,,0,13,Vorbei,AusDemSpiel,USO,FlacheHereingabe,,,,,,,,,,,,,,L,-3.5,48.5,0.7873118328248541
59,3,FCN,H,TSV,7,29,1,0,,0,14,Save,Freistoss,FSS,DirekterStandard,,,,,,,,,,,,,20.0,L,-13.5,32.5,0.05523770776653652
60,3,FCN,H,TSV,8,31,1,0,,0,15,Vorbei,AusDemSpiel,EB,TieferPass,27.0,7.0,20.0,21.0,6.0,8.0,,,,,,,7.0,R,-13.0,41.0,0.23176867750002506
61,3,FCN,H,TSV,9,32,1,0,2:1,0,16,Tor,AusDemSpiel,USO,Dribbling,8.0,7.0,6.0,,,,,,,,,,27.0,R,-10.0,49.5,0.18726563470531907
62,3,FCN,H,TSV,10,34,1,0,,1,17,Save,AusDemSpiel,EB,UnkontrollierteVorbereitung,,,,,,,,,,,,,9.0,L,7.5,46.5,0.20641583802682067
63,3,TSV,G,FCN,8,36,1,0,,-1,18,Save,AusDemSpiel,USO,FlacheHereingabe,,,,,,,,,,,,,,R,-5.5,49.5,0.345888363479
64,3,TSV,G,FCN,9,40,1,0,,-1,19,Vorbei,AusDemSpiel,EB,HoheFlanke,,,,,,,,,,,,,,K,4.5,44.5,0.12384686019701042
65,3,TSV,G,FCN,10,44,2,0,,-1,20,Vorbei,AusDemSpiel,USO,HoheFlanke,,,,,,,,,,,,,,K,2.5,42.0,0.08163026309839658
66,3,FCN,H,TSV,11,45,2,0,3:1,1,21,Tor,AusDemSpiel,USO,KontrollierteVorlage,8.0,,,,,,,,,,,,9.0,R,1.5,39.5,0.4268839329510647
67,3,FCN,H,TSV,12,48,2,0,,2,22,Block,AusDemSpiel,USO,Dribbling,8.0,21.0,20.0,,,,,,,,,,27.0,L,-13.0,38.5,0.054197107108075425
68,3,TSV,G,FCN,11,52,2,0,,-2,23,Vorbei,AusDemSpiel,nEW,Dribbling,,,,,,,,,,,,,,L,-17.0,47.5,0.06533156484033958
69,3,FCN,H,TSV,13,56,2,1,,2,24,Save,Freistoss,FSS,DirekterStandard,,,,,,,,,,,,,9.0,R,9.0,35.5,0.12511823549803022
70,3,FCN,H,TSV,14,57,2,1,4:1,2,25,Tor,AusDemSpiel,EB,HoheFlanke,13.0,20.0,6.0,16.0,10.0,23.0,,,,,,,10.0,R,-3.0,45.5,0.8556889023941567
71,3,FCN,H,TSV,15,59,2,1,,3,26,Save,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,9.0,R,8.0,38.0,0.06560014995883932
72,3,TSV,G,FCN,12,63,2,-1,,-3,27,Save,AusDemSpiel,EB,TieferPass,,,,,,,,,,,,,,L,16.0,44.5,0.07731515422313967
73,3,FCN,H,TSV,16,64,2,1,,3,28,Block,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,26.0,L,5.0,30.0,0.08359841398982781
74,3,FCN,H,TSV,17,65,2,1,,3,28,Vorbei,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,23.0,R,-14.0,27.5,0.00641875351992971
75,3,FCN,H,TSV,18,66,2,1,,3,29,Vorbei,AusDemSpiel,USO,FlacheHereingabe,10.0,7.0,20.0,19.0,16.0,,,,,,,,9.0,L,8.5,40.0,0.19747411274056986
76,3,FCN,H,TSV,19,68,2,1,,3,30,Save,AusDemSpiel,USO,KontrollierteVorlage,10.0,,,,,,,,,,,,7.0,L,8.0,40.0,0.26076960247799746
77,3,FCN,H,TSV,20,69,2,1,,3,31,Vorbei,Ecke,nE,KontrollierteVorlage,18.0,,,,,,,,,,,,7.0,R,14.0,32.5,0.012939032037093172
78,3,FCN,H,TSV,21,70,2,1,,3,32,Save,AusDemSpiel,EB,TieferPass,20.0,16.0,23.0,19.0,26.0,21.0,20.0,10.0,,,,,25.0,L,12.5,45.0,0.17278101838188073
79,3,FCN,H,TSV,22,70,2,1,,3,33,Vorbei,AusDemSpiel,EB,TieferPass,10.0,18.0,19.0,16.0,23.0,21.0,20.0,,,,,,25.0,R,-9.5,41.5,0.27054092296334303
80,3,FCN,H,TSV,23,78,2,1,,3,34,Save,AusDemSpiel,USO,HoheFlanke,11.0,10.0,19.0,11.0,,,,,,,,,7.0,K,2.5,47.0,0.3538213391529791
81,3,FCN,H,TSV,24,79,2,1,,3,35,Vorbei,AusDemSpiel,USO,KontrollierteVorlage,10.0,,,,,,,,,,,,26.0,R,3.5,25.5,0.024568656390836694
82,4,FCN,G,DJK,1,4,1,0,0:1,0,1,Tor,Ecke,E,KontrollierteVorlage,7.0,8.0,,,,,,,,,,,23.0,R,-3.5,52.0,0.8067397960618302
83,4,FCN,G,DJK,2,8,1,0,,1,2,Save,AusDemSpiel,EB,Dribbling,23.0,19.0,6.0,,,,,,,,,,16.0,R,5.0,30.5,0.02431337009115246
84,4,FCN,G,DJK,3,17,1,0,,1,3,Vorbei,AusDemSpiel,EB,KontrollierteVorlage,5.0,23.0,19.0,16.0,8.0,,,,,,,,16.0,R,12.0,24.5,0.003903443204569036
85,4,FCN,G,DJK,4,19,1,0,,1,4,Vorbei,AusDemSpiel,EB,HoheFlanke,10.0,7.0,,,,,,,,,,,20.0,K,8.5,46.0,0.1220580956899723
86,4,FCN,G,DJK,5,25,1,0,,1,5,Save,AusDemSpiel,EB,TieferPass,16.0,23.0,6.0,19.0,5.0,16.0,,,,,,,10.0,R,-1.0,43.5,0.4047598477306016
87,4,FCN,G,DJK,6,31,1,0,,1,6,Block,AusDemSpiel,EB,Dribbling,8.0,16.0,20.0,23.0,19.0,,,,,,,,27.0,R,9.5,23.5,0.0048179890119053066
88,4,FCN,G,DJK,7,31,1,0,,1,6,Vorbei,AusDemSpiel,EB,UnkontrollierteVorbereitung,,,,,,,,,,,,,27.0,R,4.0,30.0,0.0650351932348629
89,4,FCN,G,DJK,8,36,1,0,,1,7,Save,AusDemSpiel,EB,KontrollierteVorlage,23.0,27.0,23.0,16.0,6.0,8.0,19.0,,,,,,27.0,R,8.0,24.5,0.006562902110270583
90,4,FCN,G,DJK,9,37,1,0,,1,8,Save,AusDemSpiel,EB,KontrollierteVorlage,23.0,,,,,,,,,,,,16.0,R,4.0,24.0,0.0053226675992691826
91,4,FCN,G,DJK,10,38,1,0,,1,9,Vorbei,Ecke,nE,UnkontrollierteVorbereitung,,,,,,,,,,,,,6.0,R,-0.0,15.5,0.0008406611908984836
92,4,DJK,H,FCN,1,39,1,0,,-1,10,Vorbei,AusDemSpiel,EB,KontrollierteVorlage,,,,,,,,,,,,,,R,15.0,30.5,0.007275232992493414
93,4,FCN,G,DJK,11,42,1,0,,1,11,Block,AusDemSpiel,EB,UnkontrollierteVorbereitung,,,,,,,,,,,,,20.0,L,7.5,31.5,0.026179513210062687
94,4,DJK,H,FCN,2,41,2,0,,-1,12,Vorbei,Ecke,E,HoheFlanke,,,,,,,,,,,,,,K,5.0,43.0,0.04610921558219625
95,4,FCN,G,DJK,12,42,2,0,,1,13,Vorbei,AusDemSpiel,EB,UnkontrollierteVorbereitung,,,,,,,,,,,,,5.0,R,-0.5,31.5,0.015430963180596283
96,4,FCN,G,DJK,13,43,2,0,,1,14,Save,AusDemSpiel,EB,Dribbling,8.0,27.0,13.0,20.0,21.0,23.0,,,,,,,7.0,R,16.5,39.5,0.06824960741872332
97,4,FCN,G,DJK,14,53,2,0,,1,15,Save,AusDemSpiel,USO,KontrollierteVorlage,5.0,,,,,,,,,,,,7.0,L,-4.0,35.0,0.23650521279468228
98,4,FCN,G,DJK,15,61,2,0,,1,16,Vorbei,AusDemSpiel,EB,KontrollierteVorlage,8.0,23.0,16.0,20.0,26.0,,,,,,,,20.0,L,7.5,25.5,0.01410780960462521
99,4,DJK,H,FCN,3,64,2,0,,-1,17,Vorbei,AusDemSpiel,USO,Dribbling,,,,,,,,,,,,,,R,-1.0,27.5,0.048605143726768926
100,4,FCN,G,DJK,16,70,2,0,,1,18,Save,AusDemSpiel,EB,HoheFlanke,20.0,16.0,20.0,26.0,,,,,,,,,7.0,K,4.5,45.5,0.168519132294169
101,4,DJK,H,FCN,4,76,2,0,,-1,19,Vorbei,Freistoss,FSS,DirekterStandard,,,,,,,,,,,,,,L,15.0,25.5,0.014855013668962006
102,4,FCN,G,DJK,17,82,2,0,,1,20,Save,AusDemSpiel,USO,TieferPass,8.0,23.0,,,,,,,,,,,25.0,R,-4.5,36.5,0.24132138305921158
103,4,FCN,G,DJK,18,82,2,0,0:2,1,20,Tor,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,9.0,R,-8.0,37.5,0.5856840392767442
104,5,FCN,H,FCM,1,4,1,0,,0,1,Save,AusDemSpiel,EB,FlacheHereingabe,9.0,7.0,9.0,13.0,1.0,20.0,5.0,,,,,,10.0,L,6.0,46.0,0.4134211859231855
105,5,FCM,G,FCN,1,10,1,0,,0,2,Save,AusDemSpiel,USO,Dribbling,,,,,,,,,,,,,,L,-14.0,36.0,0.04361604388248792
106,5,FCN,H,FCM,2,25,1,0,,0,3,Vorbei,AusDemSpiel,USO,KontrollierteVorlage,7.0,5.0,,,,,,,,,,,9.0,L,-7.0,44.0,0.2128832907032932
107,5,FCN,H,FCM,3,29,1,1,,0,4,Alu,AusDemSpiel,EB,HoheFlanke,20.0,16.0,26.0,8.0,23.0,,,,,,,,10.0,L,-9.0,45.5,0.13709204130344055
108,5,FCM,G,FCN,2,34,1,-1,0:1,0,5,Tor,Freistoss,FSF,HoheFlanke,,,,,,,,,,,,,,K,-0.0,37.5,0.045864174518804236
109,5,FCN,H,FCM,4,37,1,1,,-1,6,Vorbei,AusDemSpiel,USO,Dribbling,,,,,,,,,,,,,20.0,L,15.5,29.0,0.03300190382143642
110,5,FCN,H,FCM,5,44,2,1,,-1,7,Vorbei,AusDemSpiel,EB,KontrollierteVorlage,8.0,10.0,16.0,23.0,5.0,8.0,20.0,26.0,,,,,10.0,L,-7.5,37.5,0.11151001904452375
111,5,FCN,H,FCM,6,46,2,1,,-1,8,Save,AusDemSpiel,USO,KontrollierteVorlage,8.0,10.0,23.0,,,,,,,,,,7.0,L,7.5,41.0,0.32010104702919684
112,5,FCN,H,FCM,7,50,2,1,,-1,9,Vorbei,AusDemSpiel,USO,KontrollierteVorlage,,,,,,,,,,,,,23.0,R,-20.0,35.5,0.0035381455423490653
113,5,FCN,H,FCM,8,55,2,1,,-1,10,Save,AusDemSpiel,EB,HoheFlanke,8.0,,,,,,,,,,,,7.0,K,-0.5,43.5,0.10980132959896646
114,5,FCM,G,FCN,3,62,2,-1,,1,11,Block,AusDemSpiel,nEW,KontrollierteVorlage,,,,,,,,,,,,,,R,-2.5,30.0,0.018872558495519588
115,5,FCM,G,FCN,4,63,2,-1,0:2,1,12,Tor,Freistoss,nFS,KontrollierteVorlage,,,,,,,,,,,,,,R,-9.5,46.5,0.18324256308181097
116,5,FCN,H,FCM,9,69,2,1,1:2,-2,13,Tor,Elfmeter,11M,DirekterStandard,,,,,,,,,,,,,7.0,R,-0.0,41.5,0.7503592297768774
117,5,FCN,H,FCM,10,70,2,1,2:2,-1,14,Tor,AusDemSpiel,EB,HoheFlanke,13.0,8.0,16.0,23.0,26.0,,,,,,,,7.0,K,-2.0,46.0,0.3517709069468946
118,5,FCN,H,FCM,11,72,2,1,,0,15,Vorbei,AusDemSpiel,EB,KontrollierteVorlage,6.0,23.0,8.0,6.0,,,,,,,,,20.0,L,8.5,20.5,0.00378255162506733
119,5,FCN,H,FCM,12,75,2,1,,0,16,Block,Freistoss,FSS,DirekterStandard,,,,,,,,,,,,,8.0,R,5.0,26.0,0.03476792204974574
120,5,FCM,G,FCN,5,78,2,-1,,0,17,Vorbei,Freistoss,FSF,HoheFlanke,,,,,,,,,,,,,,K,-9.0,45.0,0.06979141686124178
121,5,FCN,H,FCM,13,80,2,1,,0,18,Vorbei,AusDemSpiel,EB,KontrollierteVorlage,16.0,6.0,19.0,,,,,,,,,,27.0,R,-11.5,32.0,0.03811009408814135
122,5,FCN,H,FCM,14,82,2,1,,0,19,Vorbei,AusDemSpiel,EB,KontrollierteVorlage,,,,,,,,,,,,,18.0,R,-13.5,32.5,0.0225959963679912
123,6,FCN,G,FWK,1,2,1,0,,0,1,Save,AusDemSpiel,EB,UnkontrollierteVorbereitung,7.0,27.0,16.0,20.0,,,,,,,,,11.0,R,-5.0,32.5,0.018010015409323156
124,6,FCN,G,FWK,2,6,1,0,,0,2,Block,Ecke,nE,UnkontrollierteVorbereitung,,,,,,,,,,,,,10.0,L,-4.5,34.5,0.03260825270051426
125,6,FWK,H,FCN,1,16,1,0,,0,3,Vorbei,Freistoss,FSS,DirekterStandard,,,,,,,,,,,,,,R,2.0,21.5,0.0120630707398373
126,6,FWK,H,FCN,2,17,1,0,,0,4,Block,AusDemSpiel,USO,Dribbling,,,,,,,,,,,,,,R,-6.5,41.5,0.12523871433048778
127,6,FCN,G,FWK,3,21,1,0,0:1,0,5,Tor,Ecke,E,HoheFlanke,20.0,,,,,,,,,,,,23.0,R,7.0,49.0,0.17863435805877642
128,6,FWK,H,FCN,3,22,1,0,1:1,-1,6,Tor,AusDemSpiel,nEW,FlacheHereingabe,,,,,,,,,,,,,,L,-4.5,45.0,0.645449226890759
129,6,FWK,H,FCN,4,25,1,0,,0,7,TLK,AusDemSpiel,USO,Dribbling,,,,,,,,,,,,,,L,4.0,51.5,0.6564593823240089
130,6,FWK,H,FCN,5,26,1,0,,0,8,Block,Ecke,nE,UnkontrollierteVorbereitung,,,,,,,,,,,,,,L,5.0,34.0,0.021884967723682702
131,6,FWK,H,FCN,6,26,1,0,,0,8,Block,Ecke,nE,UnkontrollierteVorbereitung,,,,,,,,,,,,,,R,-6.0,39.5,0.038730010607500955
132,6,FCN,G,FWK,4,31,1,0,1:2,0,9,Tor,AusDemSpiel,USO,FlacheHereingabe,8.0,7.0,23.0,4.0,,,,,,,,,27.0,R,-3.0,46.5,0.6784233242575625
133,6,FWK,H,FCN,7,34,1,0,,-1,10,Vorbei,AusDemSpiel,USO,KontrollierteVorlage,,,,,,,,,,,,,,L,8.0,38.0,0.06984855724955369
134,6,FWK,H,FCN,8,35,1,0,,-1,11,Save,AusDemSpiel,USO,TieferPass,,,,,,,,,,,,,,L,9.0,44.5,0.32048948026040774
135,6,FCN,G,FWK,5,36,1,0,1:3,1,12,Tor,AusDemSpiel,EB,FlacheHereingabe,7.0,10.0,7.0,8.0,23.0,20.0,,,,,,,4.0,R,3.0,47.0,0.7977308733837112
136,6,FWK,H,FCN,9,38,1,0,,-2,13,Vorbei,Ecke,E,HoheFlanke,,,,,,,,,,,,,,R,-4.5,45.0,0.2203394897325499
137,6,FCN,G,FWK,6,41,2,0,,2,14,Save,AusDemSpiel,USO,KontrollierteVorlage,26.0,,,,,,,,,,,,8.0,R,5.0,36.0,0.11496522837664797
138,6,FCN,G,FWK,7,45,2,0,,2,15,Save,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,27.0,R,8.0,29.5,0.013756890339052613
139,6,FCN,G,FWK,8,46,2,0,,2,16,Vorbei,AusDemSpiel,USO,KontrollierteVorlage,27.0,,,,,,,,,,,,26.0,R,5.5,26.5,0.02058379673963518
140,6,FWK,H,FCN,10,60,2,0,2:3,-2,17,Tor,Elfmeter,11M,DirekterStandard,,,,,,,,,,,,,,R,-0.0,41.5,0.7503592297768774
141,6,FWK,H,FCN,11,65,2,0,3:3,-1,18,Tor,AusDemSpiel,USO,HoheFlanke,,,,,,,,,,,,,,L,-4.5,47.0,0.4635862218962917
142,6,FWK,H,FCN,12,68,2,0,4:3,0,19,Tor,AusDemSpiel,USO,TieferPass,,,,,,,,,,,,,,L,-0.0,38.0,0.37392458581101484
143,6,FWK,H,FCN,13,70,2,0,,1,20,Block,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,,R,-4.5,43.5,0.19926238452105174
144,6,FCN,G,FWK,9,76,2,0,,-1,21,Vorbei,AusDemSpiel,USO,Dribbling,8.0,16.0,,,,,,,,,,,7.0,R,11.0,36.0,0.08415692803110354
145,6,FWK,H,FCN,14,79,2,0,,1,22,Save,AusDemSpiel,EB,Dribbling,,,,,,,,,,,,,,L,15.0,45.5,0.06524407470731385
146,6,FCN,G,FWK,10,80,2,0,,-1,23,Vorbei,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,16.0,R,-11.0,18.5,0.0005961225293170964
