,SID,TID,HG,GID,AbNr,Min,HZ,PR,SpSt,GS,AP,Ergeb,Phase,Spielphase,VorT,VNr,2VNr,3VNr,4VNr,5VNr,6VNr,7VNr,8VNr,9VNr,10VNr,11VNr,12VNr,SNr,Körperteil,xFe,yFe,xG
106,5,FCN,H,FCM,2,25,1,0,,0,3,Vorbei,AusDemSpiel,USO,KontrollierteVorlage,7.0,5.0,,,,,,,,,,,9.0,L,-7.0,44.0,0.24649380645825567
107,5,FCN,H,FCM,3,29,1,1,,0,4,Alu,AusDemSpiel,EB,HoheFlanke,20.0,16.0,26.0,8.0,23.0,,,,,,,,10.0,L,-9.0,45.5,0.12925450533154134
108,5,FCM,G,FCN,2,34,1,-1,0:1,0,5,Tor,Freistoss,FSF,HoheFlanke,,,,,,,,,,,,,,K,-0.0,37.5,0.031544523186023306
109,5,FCN,H,FCM,4,37,1,1,,-1,6,Vorbei,AusDemSpiel,USO,Dribbling,,,,,,,,,,,,,20.0,L,15.5,29.0,0.030783185972141955
110,5,FCN,H,FCM,5,44,2,1,,-1,7,Vorbei,AusDemSpiel,EB,KontrollierteVorlage,8.0,10.0,16.0,23.0,5.0,8.0,20.0,26.0,,,,,10.0,L,-7.5,37.5,0.10704641570450285
111,5,FCN,H,FCM,6,46,2,1,,-1,8,Save,AusDemSpiel,USO,KontrollierteVorlage,8.0,10.0,23.0,,,,,,,,,,7.0,L,7.5,41.0,0.3170206759438102
112,5,FCN,H,FCM,7,50,2,1,,-1,9,Vorbei,AusDemSpiel,USO,KontrollierteVorlage,,,,,,,,,,,,,23.0,R,-20.0,35.5,0.00389499009206522
113,5,FCN,H,FCM,8,55,2,1,,-1,10,Save,AusDemSpiel,EB,HoheFlanke,8.0,,,,,,,,,,,,7.0,K,-0.5,43.5,0.07751449382414438
114,5,FCM,G,FCN,3,62,2,-1,,1,11,Block,AusDemSpiel,nEW,KontrollierteVorlage,,,,,,,,,,,,,,R,-2.5,30.0,0.02302207385230528
115,5,FCM,G,FCN,4,63,2,-1,0:2,1,12,Tor,Freistoss,nFS,KontrollierteVorlage,,,,,,,,,,,,,,R,-9.5,46.5,0.2077715437238145
116,5,FCN,H,FCM,9,69,2,1,1:2,-2,13,Tor,Elfmeter,11M,DirekterStandard,,,,,,,,,,,,,7.0,R,-0.0,41.5,0.7524673905236755
117,5,FCN,H,FCM,10,70,2,1,2:2,-1,14,Tor,AusDemSpiel,EB,HoheFlanke,13.0,8.0,16.0,23.0,26.0,,,,,,,,7.0,K,-2.0,46.0,0.41223859228278426
118,5,FCN,H,FCM,11,72,2,1,,0,15,Vorbei,AusDemSpiel,EB,KontrollierteVorlage,6.0,23.0,8.0,6.0,,,,,,,,,20.0,L,8.5,20.5,0.0036274285797603047
119,5,FCN,H,FCM,12,75,2,1,,0,16,Block,Freistoss,FSS,DirekterStandard,,,,,,,,,,,,,8.0,R,5.0,26.0,0.03469583577968659
120,5,FCM,G,FCN,5,78,2,-1,,0,17,Vorbei,Freistoss,FSF,HoheFlanke,,,,,,,,,,,,,,K,-9.0,45.0,0.046844852565146
121,5,FCN,H,FCM,13,80,2,1,,0,18,Vorbei,AusDemSpiel,EB,KontrollierteVorlage,16.0,6.0,19.0,,,,,,,,,,27.0,R,-11.5,32.0,0.04605747361824189
122,5,FCN,H,FCM,14,82,2,1,,0,19,Vorbei,AusDemSpiel,EB,KontrollierteVorlage,,,,,,,,,,,,,18.0,R,-13.5,32.5,0.026542743361965625
123,6,FCN,G,FWK,1,2,1,0,,0,1,Save,AusDemSpiel,EB,UnkontrollierteVorbereitung,7.0,27.0,16.0,20.0,,,,,,,,,11.0,R,-5.0,32.5,0.014343888964248423
124,6,FCN,G,FWK,2,6,1,0,,0,2,Block,Ecke,nE,UnkontrollierteVorbereitung,,,,,,,,,,,,,10.0,L,-4.5,34.5,0.02692171300012273
125,6,FWK,H,FCN,1,16,1,0,,0,3,Vorbei,Freistoss,FSS,DirekterStandard,,,,,,,,,,,,,,R,2.0,21.5,0.01219847777227261
126,6,FWK,H,FCN,2,17,1,0,,0,4,Block,AusDemSpiel,USO,Dribbling,,,,,,,,,,,,,,R,-6.5,41.5,0.14070946400573742
127,6,FCN,G,FWK,3,21,1,0,0:1,0,5,Tor,Ecke,E,HoheFlanke,20.0,,,,,,,,,,,,23.0,R,7.0,49.0,0.21267299749823299
128,6,FWK,H,FCN,3,22,1,0,1:1,-1,6,Tor,AusDemSpiel,nEW,FlacheHereingabe,,,,,,,,,,,,,,L,-4.5,45.0,0.6133831603634298
129,6,FWK,H,FCN,4,25,1,0,,0,7,TLK,AusDemSpiel,USO,Dribbling,,,,,,,,,,,,,,L,4.0,51.5,0.6722959000155533
130,6,FWK,H,FCN,5,26,1,0,,0,8,Block,Ecke,nE,UnkontrollierteVorbereitung,,,,,,,,,,,,,,L,5.0,34.0,0.019162982058490357
131,6,FWK,H,FCN,6,26,1,0,,0,8,Block,Ecke,nE,UnkontrollierteVorbereitung,,,,,,,,,,,,,,R,-6.0,39.5,0.044813244542199725
132,6,FCN,G,FWK,4,31,1,0,1:2,0,9,Tor,AusDemSpiel,USO,FlacheHereingabe,8.0,7.0,23.0,4.0,,,,,,,,,27.0,R,-3.0,46.5,0.7134698977942994
133,6,FWK,H,FCN,7,34,1,0,,-1,10,Vorbei,AusDemSpiel,USO,KontrollierteVorlage,,,,,,,,,,,,,,L,8.0,38.0,0.06548649210002465
134,6,FWK,H,FCN,8,35,1,0,,-1,11,Save,AusDemSpiel,USO,TieferPass,,,,,,,,,,,,,,L,9.0,44.5,0.35451001583072383
135,6,FCN,G,FWK,5,36,1,0,1:3,1,12,Tor,AusDemSpiel,EB,FlacheHereingabe,7.0,10.0,7.0,8.0,23.0,20.0,,,,,,,4.0,R,3.0,47.0,0.7880427838563399
136,6,FWK,H,FCN,9,38,1,0,,-2,13,Vorbei,Ecke,E,HoheFlanke,,,,,,,,,,,,,,R,-4.5,45.0,0.1878287729529681
137,6,FCN,G,FWK,6,41,2,0,,2,14,Save,AusDemSpiel,USO,KontrollierteVorlage,26.0,,,,,,,,,,,,8.0,R,5.0,36.0,0.13954003632909767
138,6,FCN,G,FWK,7,45,2,0,,2,15,Save,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,27.0,R,8.0,29.5,0.016347905623303696
139,6,FCN,G,FWK,8,46,2,0,,2,16,Vorbei,AusDemSpiel,USO,KontrollierteVorlage,27.0,,,,,,,,,,,,26.0,R,5.5,26.5,0.024679031487132252
140,6,FWK,H,FCN,10,60,2,0,2:3,-2,17,Tor,Elfmeter,11M,DirekterStandard,,,,,,,,,,,,,,R,-0.0,41.5,0.7524673905236755
141,6,FWK,H,FCN,11,65,2,0,3:3,-1,18,Tor,AusDemSpiel,USO,HoheFlanke,,,,,,,,,,,,,,L,-4.5,47.0,0.4589037564406117
