,SID,TID,HG,GID,AbNr,Min,HZ,PR,SpSt,GS,AP,Ergeb,Phase,VNr,2VNr,3VNr,4VNr,5VNr,6VNr,7VNr,8VNr,9VNr,10VNr,11VNr,12VNr,SNr,xFe,yFe,xG
87,4,FCN,G,DJK,6,31,1,0,,1,6,Block,AusDemSpiel,8.0,16.0,20.0,23.0,19.0,,,,,,,,27.0,9.5,23.5,0.004293401660549317
88,4,FCN,G,DJK,7,31,1,0,,1,6,Vorbei,AusDemSpiel,,,,,,,,,,,,,27.0,4.0,30.0,0.10519040825420074
89,4,FCN,G,DJK,8,36,1,0,,1,7,Save,AusDemSpiel,23.0,27.0,23.0,16.0,6.0,8.0,19.0,,,,,,27.0,8.0,24.5,0.0029923955267918156
90,4,FCN,G,DJK,9,37,1,0,,1,8,Save,AusDemSpiel,23.0,,,,,,,,,,,,16.0,4.0,24.0,0.004986206645538175
91,4,FCN,G,DJK,10,38,1,0,,1,9,Vorbei,Ecke,,,,,,,,,,,,,6.0,-0.0,15.5,2.281350252112922e-07
92,4,DJK,H,FCN,1,39,1,0,,-1,10,Vorbei,AusDemSpiel,,,,,,,,,,,,,,15.0,30.5,0.017393753784239165
93,4,FCN,G,DJK,11,42,1,0,,1,11,Block,AusDemSpiel,,,,,,,,,,,,,20.0,7.5,31.5,0.012941521076081805
94,4,DJK,H,FCN,2,41,2,0,,-1,12,Vorbei,Ecke,,,,,,,,,,,,,,5.0,43.0,0.02671111843481149
95,4,FCN,G,DJK,12,42,2,0,,1,13,Vorbei,AusDemSpiel,,,,,,,,,,,,,5.0,-0.5,31.5,0.01487769848740185
96,4,FCN,G,DJK,13,43,2,0,,1,14,Save,AusDemSpiel,8.0,27.0,13.0,20.0,21.0,23.0,,,,,,,7.0,16.5,39.5,0.04511354909487726
97,4,FCN,G,DJK,14,53,2,0,,1,15,Save,AusDemSpiel,5.0,,,,,,,,,,,,7.0,-4.0,35.0,0.28477469586075715
98,4,FCN,G,DJK,15,61,2,0,,1,16,Vorbei,AusDemSpiel,8.0,23.0,16.0,20.0,26.0,,,,,,,,20.0,7.5,25.5,0.012459412823065763
99,4,DJK,H,FCN,3,64,2,0,,-1,17,Vorbei,AusDemSpiel,,,,,,,,,,,,,,-1.0,27.5,0.03390598917215641
100,4,FCN,G,DJK,16,70,2,0,,1,18,Save,AusDemSpiel,20.0,16.0,20.0,26.0,,,,,,,,,7.0,4.5,45.5,0.10159430840256432
101,4,DJK,H,FCN,4,76,2,0,,-1,19,Vorbei,Freistoss,,,,,,,,,,,,,,15.0,25.5,0.024882239451078335
102,4,FCN,G,DJK,17,82,2,0,,1,20,Save,AusDemSpiel,8.0,23.0,,,,,,,,,,,25.0,-4.5,36.5,0.3255770382609723
103,4,FCN,G,DJK,18,82,2,0,0:2,1,20,Tor,AusDemSpiel,,,,,,,,,,,,,9.0,-8.0,37.5,0.7276224565294551
104,5,FCN,H,FCM,1,4,1,0,,0,1,Save,AusDemSpiel,9.0,7.0,9.0,13.0,1.0,20.0,5.0,,,,,,10.0,6.0,46.0,0.525815228955895
105,5,FCM,G,FCN,1,10,1,0,,0,2,Save,AusDemSpiel,,,,,,,,,,,,,,-14.0,36.0,0.06861315493496359
106,5,FCN,H,FCM,2,25,1,0,,0,3,Vorbei,AusDemSpiel,7.0,5.0,,,,,,,,,,,9.0,-7.0,44.0,0.3746393575599613
107,5,FCN,H,FCM,3,29,1,1,,0,4,Alu,AusDemSpiel,20.0,16.0,26.0,8.0,23.0,,,,,,,,10.0,-9.0,45.5,0.04187253787783424
108,5,FCM,G,FCN,2,34,1,-1,0:1,0,5,Tor,Freistoss,,,,,,,,,,,,,,-0.0,37.5,0.01012081858977397
109,5,FCN,H,FCM,4,37,1,1,,-1,6,Vorbei,AusDemSpiel,,,,,,,,,,,,,20.0,15.5,29.0,0.020197088691293278
110,5,FCN,H,FCM,5,44,2,1,,-1,7,Vorbei,AusDemSpiel,8.0,10.0,16.0,23.0,5.0,8.0,20.0,26.0,,,,,10.0,-7.5,37.5,0.09498859691644591
111,5,FCN,H,FCM,6,46,2,1,,-1,8,Save,AusDemSpiel,8.0,10.0,23.0,,,,,,,,,,7.0,7.5,41.0,0.38301827967393093
112,5,FCN,H,FCM,7,50,2,1,,-1,9,Vorbei,AusDemSpiel,,,,,,,,,,,,,23.0,-20.0,35.5,0.007827318725757707
113,5,FCN,H,FCM,8,55,2,1,,-1,10,Save,AusDemSpiel,8.0,,,,,,,,,,,,7.0,-0.5,43.5,0.04930973175248973
114,5,FCM,G,FCN,3,62,2,-1,,1,11,Block,AusDemSpiel,,,,,,,,,,,,,,-2.5,30.0,0.04230338738377125
115,5,FCM,G,FCN,4,63,2,-1,0:2,1,12,Tor,Freistoss,,,,,,,,,,,,,,-9.5,46.5,0.14856178398596748
116,5,FCN,H,FCM,9,69,2,1,1:2,-2,13,Tor,Elfmeter,,,,,,,,,,,,,7.0,-0.0,41.5,0.7068148462161765
117,5,FCN,H,FCM,10,70,2,1,2:2,-1,14,Tor,AusDemSpiel,13.0,8.0,16.0,23.0,26.0,,,,,,,,7.0,-2.0,46.0,0.4368847605958584
118,5,FCN,H,FCM,11,72,2,1,,0,15,Vorbei,AusDemSpiel,6.0,23.0,8.0,6.0,,,,,,,,,20.0,8.5,20.5,0.008050097126515592
119,5,FCN,H,FCM,12,75,2,1,,0,16,Block,Freistoss,,,,,,,,,,,,,8.0,5.0,26.0,0.045729624843759135
120,5,FCM,G,FCN,5,78,2,-1,,0,17,Vorbei,Freistoss,,,,,,,,,,,,,,-9.0,45.0,0.021549129812342634
121,5,FCN,H,FCM,13,80,2,1,,0,18,Vorbei,AusDemSpiel,16.0,6.0,19.0,,,,,,,,,,27.0,-11.5,32.0,0.08269630184646885
122,5,FCN,H,FCM,14,82,2,1,,0,19,Vorbei,AusDemSpiel,,,,,,,,,,,,,18.0,-13.5,32.5,0.043181078586451115
123,6,FCN,G,FWK,1,2,1,0,,0,1,Save,AusDemSpiel,7.0,27.0,16.0,20.0,,,,,,,,,11.0,-5.0,32.5,0.031726686755661926
124,6,FCN,G,FWK,2,6,1,0,,0,2,Block,Ecke,,,,,,,,,,,,,10.0,-4.5,34.5,0.07665034706197861
125,6,FWK,H,FCN,1,16,1,0,,0,3,Vorbei,Freistoss,,,,,,,,,,,,,,2.0,21.5,0.01971998488509334
126,6,FWK,H,FCN,2,17,1,0,,0,4,Block,AusDemSpiel,,,,,,,,,,,,,,-6.5,41.5,0.17856757207491436
127,6,FCN,G,FWK,3,21,1,0,0:1,0,5,Tor,Ecke,20.0,,,,,,,,,,,,23.0,7.0,49.0,0.16847398009561845
128,6,FWK,H,FCN,3,22,1,0,1:1,-1,6,Tor,AusDemSpiel,,,,,,,,,,,,,,-4.5,45.0,0.5408647490701481
129,6,FWK,H,FCN,4,25,1,0,,0,7,TLK,AusDemSpiel,,,,,,,,,,,,,,4.0,51.5,0.7805543741628681
130,6,FWK,H,FCN,5,26,1,0,,0,8,Block,Ecke,,,,,,,,,,,,,,5.0,34.0,0.010104488225444071
131,6,FWK,H,FCN,6,26,1,0,,0,8,Block,Ecke,,,,,,,,,,,,,,-6.0,39.5,0.07601487416892892
132,6,FCN,G,FWK,4,31,1,0,1:2,0,9,Tor,AusDemSpiel,8.0,7.0,23.0,4.0,,,,,,,,,27.0,-3.0,46.5,0.6839706534595843
133,6,FWK,H,FCN,7,34,1,0,,-1,10,Vorbei,AusDemSpiel,,,,,,,,,,,,,,8.0,38.0,0.04240584691118602
134,6,FWK,H,FCN,8,35,1,0,,-1,11,Save,AusDemSpiel,,,,,,,,,,,,,,9.0,44.5,0.24904556855594187
135,6,FCN,G,FWK,5,36,1,0,1:3,1,12,Tor,AusDemSpiel,7.0,10.0,7.0,8.0,23.0,20.0,,,,,,,4.0,3.0,47.0,0.7088706121620413
136,6,FWK,H,FCN,9,38,1,0,,-2,13,Vorbei,Ecke,,,,,,,,,,,,,,-4.5,45.0,0.14739987098809684
137,6,FCN,G,FWK,6,41,2,0,,2,14,Save,AusDemSpiel,26.0,,,,,,,,,,,,8.0,5.0,36.0,0.09621454171744062
138,6,FCN,G,FWK,7,45,2,0,,2,15,Save,AusDemSpiel,,,,,,,,,,,,,27.0,8.0,29.5,0.03233008882336332
139,6,FCN,G,FWK,8,46,2,0,,2,16,Vorbei,AusDemSpiel,27.0,,,,,,,,,,,,26.0,5.5,26.5,0.027705703815932677
140,6,FWK,H,FCN,10,60,2,0,2:3,-2,17,Tor,Elfmeter,,,,,,,,,,,,,,-0.0,41.5,0.7068148462161765
141,6,FWK,H,FCN,11,65,2,0,3:3,-1,18,Tor,AusDemSpiel,,,,,,,,,,,,,,-4.5,47.0,0.6945175278989502
142,6,FWK,H,FCN,12,68,2,0,4:3,0,19,Tor,AusDemSpiel,,,,,,,,,,,,,,-0.0,38.0,0.018907404245177513
143,6,FWK,H,FCN,13,70,2,0,,1,20,Block,AusDemSpiel,,,,,,,,,,,,,,-4.5,43.5,0.141033872570431
144,6,FCN,G,FWK,9,76,2,0,,-1,21,Vorbei,AusDemSpiel,8.0,16.0,,,,,,,,,,,7.0,11.0,36.0,0.11502421768017589
145,6,FWK,H,FCN,14,79,2,0,,1,22,Save,AusDemSpiel,,,,,,,,,,,,,,15.0,45.5,0.03860297162558067
146,6,FCN,G,FWK,10,80,2,0,,-1,23,Vorbei,AusDemSpiel,,,,,,,,,,,,,16.0,-11.0,18.5,0.0005451653286316654
147,6,FCN,G,FWK,11,81,2,0,4:4,-1,24,Tor,AusDemSpiel,18.0,7.0,18.0,16.0,4.0,10.0,19.0,8.0,23.0,,,,19.0,-3.5,48.5,0.680366583422523
148,6,FWK,H,FCN,15,83,2,0,,0,25,Vorbei,Ecke,,,,,,,,,,,,,,-5.0,48.0,0.10327160518747948
149,6,FCN,G,FWK,12,84,2,0,,0,26,Vorbei,AusDemSpiel,19.0,18.0,7.0,,,,,,,,,,10.0,-4.5,45.5,0.06303416120061879
150,6,FCN,G,FWK,13,85,2,0,,0,27,Vorbei,Ecke,10.0,,,,,,,,,,,,16.0,-1.5,45.5,0.002682126950829621
151,7,FCN,H,FCA,1,5,1,0,,0,1,Save,AusDemSpiel,8.0,,,,,,,,,,,,10.0,-10.0,38.5,0.04999203940279738
152,7,FCN,H,FCA,2,5,1,0,,0,2,Block,Ecke,8.0,,,,,,,,,,,,10.0,7.5,37.0,0.03696982254709285
153,7,FCN,H,FCA,3,5,1,0,,0,2,Save,Ecke,,,,,,,,,,,,,27.0,2.0,45.0,0.10662614017685941
154,7,FCN,H,FCA,4,9,1,0,,0,3,Block,AusDemSpiel,19.0,7.0,8.0,20.0,26.0,,,,,,,,10.0,-8.5,44.5,0.03932613661323124
155,7,FCN,H,FCA,5,9,1,0,,0,3,Block,AusDemSpiel,8.0,,,,,,,,,,,,7.0,5.0,43.0,0.2357171896527452
156,7,FCN,H,FCA,6,9,1,0,,0,3,Block,AusDemSpiel,7.0,,,,,,,,,,,,10.0,-5.5,43.5,0.09863930651180537
157,7,FCN,H,FCA,7,10,1,0,,0,3,Block,AusDemSpiel,27.0,,,,,,,,,,,,4.0,-4.5,43.0,0.2483134612030128
158,7,FCN,H,FCA,8,12,1,0,,0,4,Save,AusDemSpiel,7.0,27.0,,,,,,,,,,,10.0,-8.0,34.0,0.02379183363502834
159,7,FCN,H,FCA,9,17,1,0,1:0,0,5,Tor,AusDemSpiel,26.0,4.0,27.0,,,,,,,,,,7.0,6.0,41.5,0.3999531259958673
160,7,FCN,H,FCA,10,18,1,0,,1,6,Block,AusDemSpiel,7.0,8.0,26.0,,,,,,,,,,10.0,-8.0,43.5,0.14007944118764465
161,7,FCN,H,FCA,11,18,1,0,,1,6,Save,AusDemSpiel,,,,,,,,,,,,,8.0,-10.0,43.0,0.04804335768435275
162,7,FCN,H,FCA,12,20,1,0,,1,7,Save,AusDemSpiel,8.0,,,,,,,,,,,,10.0,8.0,37.0,0.11118525142027331
163,7,FCN,H,FCA,13,24,1,0,,1,8,Save,AusDemSpiel,,,,,,,,,,,,,26.0,-7.5,32.5,0.052168358328524816
164,7,FCA,G,FCN,1,29,1,0,,-1,9,Vorbei,AusDemSpiel,,,,,,,,,,,,,,2.0,22.5,0.00733409857771955
165,7,FCN,H,FCA,14,31,1,0,,1,10,Block,AusDemSpiel,19.0,4.0,,,,,,,,,,,10.0,-12.0,39.5,0.04184427102238211
166,7,FCN,H,FCA,15,34,1,0,,1,11,Vorbei,AusDemSpiel,27.0,1.0,,,,,,,,,,,10.0,-10.0,42.0,0.03775922528892446
167,7,FCA,G,FCN,2,44,2,0,,-1,12,Block,AusDemSpiel,,,,,,,,,,,,,,16.0,40.0,0.017437546014770162
168,7,FCA,G,FCN,3,44,2,0,,-1,13,Block,AusDemSpiel,,,,,,,,,,,,,,-6.5,35.5,0.022992102619885123
