,SID,TID,HG,GID,AbNr,Min,HZ,PR,SpSt,GS,AP,Ergeb,Phase,VNr,2VNr,3VNr,4VNr,5VNr,6VNr,7VNr,8VNr,9VNr,10VNr,11VNr,12VNr,SNr,xFe,yFe,xG
209,8,FCN,G,SSV,11,49,2,0,,2,14,Save,Freistoss,,,,,,,,,,,,,8.0,8.0,31.0,0.06613139192540664
210,8,SSV,H,FCN,8,50,2,0,,-2,15,Save,AusDemSpiel,,,,,,,,,,,,,,-2.5,40.5,0.05612875505677951
211,8,FCN,G,SSV,12,54,2,0,,2,16,Block,AusDemSpiel,7.0,,,,,,,,,,,,10.0,-12.5,36.5,0.110436795614078
212,8,FCN,G,SSV,13,57,2,0,,2,17,Vorbei,AusDemSpiel,7.0,4.0,,,,,,,,,,,27.0,15.0,39.0,0.09082623892764402
213,8,SSV,H,FCN,9,62,2,0,,-2,18,Save,Freistoss,,,,,,,,,,,,,,25.0,38.0,0.030982394978779974
214,8,SSV,H,FCN,10,65,2,0,,-2,19,Save,Freistoss,,,,,,,,,,,,,,5.0,26.5,0.03277913255719359
215,8,SSV,H,FCN,11,65,2,0,,-2,19,Save,Freistoss,,,,,,,,,,,,,,8.5,46.5,0.4659035071351515
216,8,FCN,G,SSV,14,65,2,0,,2,20,Vorbei,AusDemSpiel,7.0,20.0,,,,,,,,,,,13.0,12.5,32.0,0.13019226069194614
217,8,FCN,G,SSV,15,69,2,0,,2,21,Vorbei,AusDemSpiel,,,,,,,,,,,,,26.0,-4.0,27.5,0.030488525818781285
218,8,FCN,G,SSV,16,72,2,0,,2,22,Block,AusDemSpiel,25.0,4.0,,,,,,,,,,,10.0,2.5,41.0,0.0024568269983216325
219,8,SSV,H,FCN,12,75,2,0,2:3,-2,23,Tor,AusDemSpiel,,,,,,,,,,,,,,-2.0,43.0,0.2205556601463829
220,8,FCN,G,SSV,17,79,2,0,,1,24,Vorbei,AusDemSpiel,13.0,8.0,20.0,,,,,,,,,,26.0,14.5,15.5,0.006523104501553897
221,8,FCN,G,SSV,18,80,2,0,,1,25,Save,AusDemSpiel,25.0,13.0,,,,,,,,,,,10.0,2.5,44.0,0.15809318076093928
222,8,SSV,H,FCN,13,81,2,0,,-1,26,Vorbei,AusDemSpiel,,,,,,,,,,,,,,-3.0,26.0,0.034854095251882156
223,13,60M,G,FCN,1,7,1,0,,0,1,Block,AusDemSpiel,,,,,,,,,,,,,,2.0,35.0,0.04263662998535996
224,13,60M,G,FCN,2,7,1,0,,0,1,Vorbei,AusDemSpiel,,,,,,,,,,,,,,12.0,37.0,0.02011515593806332
225,13,FCN,H,60M,1,8,1,0,,0,2,Vorbei,AusDemSpiel,8.0,,,,,,,,,,,,9.0,3.5,41.0,0.21330853186655432
